row,col,map_x,map_y,similarity,R_mean,R_std,G_mean,G_std,B_mean,B_std,GLCM_contrast,GLCM_homogeneity,GLCM_energy,GLCM_correlation,edge_density,DSM_mean,DSM_std,DSM_roughness,pct_ceramic,pct_fiber,pct_paved_road,pct_exposed_soil,pct_vegetation,informality_idx,formality_idx
200,700,187148.7638,8951341.8997,0.177143,132.135773,12.380022,121.613152,12.649406,105.995850,12.553318,3.582887,0.497197,0.153917,0.817967,0.060300,19.237228,11.367431,5.056619,0.129825,0.001750,0.000475,0.121250,0.740000,0.252825,0.740475
200,800,187198.7638,8951341.8997,0.160056,134.476471,11.377563,123.882477,11.606208,108.314751,11.730973,3.364245,0.498419,0.145795,0.799280,0.071775,23.243147,13.807656,5.879086,0.143150,0.001500,0.000275,0.148450,0.703075,0.293100,0.703350
200,900,187248.7638,8951341.8997,0.161032,134.160172,11.740474,123.960075,11.493906,107.918549,11.756845,3.848247,0.493957,0.142841,0.770679,0.073650,28.510902,15.518349,6.703050,0.108600,0.001500,0.000300,0.142600,0.744475,0.252700,0.744775
200,1000,187298.7638,8951341.8997,0.187003,133.227753,12.816186,124.579498,12.219846,109.283348,13.197998,5.551149,0.464780,0.129361,0.708381,0.110975,30.457094,15.999531,6.982508,0.064325,0.027325,0.002825,0.118400,0.784800,0.210050,0.787625
200,1100,187348.7638,8951341.8997,0.218463,130.280518,18.586670,124.015297,17.603006,112.226349,16.577972,8.978262,0.394390,0.094474,0.767121,0.211175,27.872395,15.670357,6.704030,0.049800,0.071900,0.011850,0.101375,0.760875,0.223075,0.772725
200,1200,187398.7638,8951341.8997,0.200364,136.849182,29.794611,128.900757,27.245375,116.274300,22.966579,12.733683,0.399539,0.072213,0.862988,0.233650,24.354269,14.639724,6.173393,0.087550,0.062325,0.012350,0.255475,0.577975,0.405350,0.590325
200,1300,187448.7638,8951341.8997,0.247265,150.580780,31.778851,139.537979,30.341560,123.087929,25.501938,13.571612,0.488130,0.116787,0.878422,0.176500,23.878553,14.043271,6.182721,0.123700,0.034125,0.008450,0.498200,0.332800,0.656025,0.341250
200,1400,187498.7638,8951341.8997,0.257823,148.841721,32.615135,138.967346,31.270447,122.441452,27.858978,15.607122,0.457335,0.101391,0.870276,0.186625,23.456585,13.716916,6.039907,0.099525,0.038850,0.010325,0.465100,0.380375,0.603475,0.390700
200,1500,187548.7638,8951341.8997,0.502652,139.650925,38.432724,131.690155,36.503742,117.151672,34.589733,23.265179,0.357425,0.059048,0.860451,0.240800,22.311907,13.448539,5.822547,0.127800,0.059050,0.013975,0.285725,0.495425,0.472575,0.509400
200,1600,187598.7638,8951341.8997,0.869807,132.239395,42.687057,125.142448,38.742100,111.410400,37.160900,28.446562,0.309541,0.049231,0.851950,0.277975,22.948063,13.705791,6.169185,0.216450,0.064850,0.014450,0.171750,0.507650,0.453050,0.522100
200,1700,187648.7638,8951341.8997,0.934322,131.036469,42.791447,123.304451,38.541660,110.103874,37.352230,30.041132,0.294338,0.048606,0.841834,0.291800,22.797794,13.994127,6.490798,0.254525,0.071675,0.016375,0.129600,0.505025,0.455800,0.521400
200,1800,187698.7638,8951341.8997,0.843643,138.715881,42.899235,127.510803,39.773201,114.047897,37.362183,33.177471,0.295022,0.047233,0.832276,0.291450,21.800587,13.912687,6.510768,0.300025,0.075275,0.019200,0.165150,0.414900,0.540450,0.434100
300,0,186798.7638,8951291.8997,0.575598,116.736725,32.291309,118.723747,27.850969,103.279472,30.336382,15.205929,0.318918,0.059492,0.855642,0.306400,-154.312393,1291.773193,28.945038,0.033575,0.097150,0.036375,0.056850,0.765875,0.187575,0.802250
300,100,186848.7638,8951291.8997,0.674242,120.410576,32.781151,121.361778,27.877941,104.657326,30.050783,17.133745,0.298905,0.058270,0.838765,0.317450,19.681265,12.344884,4.435444,0.043800,0.081800,0.030925,0.074000,0.756850,0.199600,0.787775
300,200,186898.7638,8951291.8997,0.611727,119.155327,33.234303,118.645851,26.907246,98.986122,27.105410,15.349161,0.315807,0.061755,0.848179,0.303025,22.742262,12.843838,4.964354,0.057775,0.018025,0.003825,0.117550,0.790950,0.193350,0.794775
300,300,186948.7638,8951291.8997,0.556669,123.724426,34.004326,121.155525,27.544470,99.150078,28.688049,13.687979,0.322750,0.061834,0.872706,0.298950,21.991293,12.542166,5.004772,0.070125,0.003900,0.000725,0.156800,0.759425,0.230825,0.760150
300,400,186998.7638,8951291.8997,0.436244,132.276825,31.952990,126.817352,27.639482,107.205803,29.562492,13.437147,0.322725,0.063361,0.871350,0.309100,21.834349,13.039394,5.048917,0.080475,0.009375,0.001725,0.196875,0.692075,0.286725,0.693800
300,500,187048.7638,8951291.8997,0.436141,131.032700,31.867403,125.480225,28.034132,108.772522,29.448877,12.503531,0.332942,0.062346,0.881940,0.302725,23.210865,13.958825,5.475592,0.081500,0.019425,0.003275,0.178300,0.683300,0.279225,0.686575
300,600,187098.7638,8951291.8997,0.230796,130.497192,27.370619,123.165047,24.668774,108.044403,25.446344,10.190762,0.375519,0.082811,0.873247,0.230700,23.145573,14.096739,5.895054,0.109475,0.021075,0.004600,0.144675,0.691075,0.275225,0.695675
300,700,187148.7638,8951291.8997,0.162082,132.983170,16.616026,123.204147,16.480875,108.277649,17.018467,5.963360,0.446495,0.122778,0.825172,0.130125,22.145594,13.737549,5.914381,0.133950,0.011975,0.003600,0.139050,0.698150,0.284975,0.701750
300,800,187198.7638,8951291.8997,0.159261,132.972076,13.704950,122.716949,13.959044,107.422752,14.207322,4.066117,0.486198,0.137857,0.831393,0.096750,23.531710,14.393426,5.960002,0.124125,0.006850,0.001450,0.142725,0.717200,0.273700,0.718650
300,900,187248.7638,8951291.8997,0.186575,130.250198,16.551695,121.181351,15.343706,106.596123,15.856204,6.095406,0.447313,0.121287,0.800706,0.159300,27.159529,15.374469,6.447362,0.098650,0.016200,0.001875,0.127075,0.750050,0.241925,0.751925
300,1000,187298.7638,8951291.8997,0.262783,131.025070,17.792263,122.719101,16.003843,108.122398,17.142891,9.078318,0.385283,0.097696,0.731732,0.221350,27.852488,16.525421,6.653715,0.097250,0.019700,0.002425,0.142075,0.732650,0.259025,0.735075
